"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-10T04:01:51.937295Z",1,17.673,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-10T04:01:51.937340Z"
2,"1","2026-02-10T04:06:33.828144Z",2,9.778,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-10T04:06:33.828191Z"
3,"1","2026-02-10T04:06:41.165727Z",3,6.71,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-10T04:06:41.165774Z"
4,"1","2026-02-10T04:06:49.167232Z",4,7.433,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-10T04:06:49.167285Z"
5,"1","2026-02-10T04:06:57.433117Z",5,7.673,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-10T04:06:57.433164Z"
6,"1","2026-02-10T04:07:30.772375Z",6,32.772,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-10T04:07:30.772425Z"
7,"1","2026-02-10T04:07:37.935049Z",7,6.548,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-10T04:07:37.935092Z"
8,"1","2026-02-10T04:07:42.405425Z",8,3.927,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-10T04:07:42.405469Z"
9,"1","2026-02-10T04:07:56.165050Z",9,13.164,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-10T04:07:56.165097Z"
10,"1","2026-02-10T04:08:04.078211Z",10,7.399,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-10T04:08:04.078258Z"
11,"1","2026-02-10T04:08:11.254194Z",11,6.319,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T04:08:11.254243Z"
12,"1","2026-02-10T04:08:21.582594Z",12,9.706,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-10T04:08:21.582633Z"
13,"1","2026-02-10T04:08:50.565153Z",13,28.423,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-10T04:08:50.565196Z"
14,"1","2026-02-10T04:09:33.494000Z",14,42.391,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-10T04:09:33.494052Z"
15,"1","2026-02-10T04:09:42.484980Z",15,8.415,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-10T04:09:42.485028Z"
16,"1","2026-02-10T04:09:50.548936Z",16,7.5,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-10T04:09:50.548977Z"
17,"1","2026-02-10T04:09:53.600110Z",17,2.504,"Total garbage. Zero stars if I could give it.","Negative","2026-02-10T04:09:53.600159Z"
18,"1","2026-02-10T04:10:04.084861Z",18,9.986,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-10T04:10:04.084909Z"
19,"1","2026-02-10T04:10:19.656910Z",19,15.008,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-10T04:10:19.656952Z"
20,"1","2026-02-10T04:10:25.980201Z",20,5.715,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-10T04:10:25.980236Z"
21,"1","2026-02-10T04:10:35.476358Z",21,8.976,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-10T04:10:35.476403Z"
22,"1","2026-02-10T04:10:46.417319Z",22,10.333,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-10T04:10:46.417365Z"
23,"1","2026-02-10T04:11:02.934470Z",23,15.932,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-10T04:11:02.934520Z"
24,"1","2026-02-10T04:11:17.984092Z",24,14.472,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-10T04:11:17.984138Z"
25,"1","2026-02-10T04:11:22.565807Z",25,4.019,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-10T04:11:22.565841Z"
26,"1","2026-02-10T04:11:26.109289Z",26,3.042,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-10T04:11:26.109326Z"
27,"1","2026-02-10T04:11:40.686746Z",27,14.072,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-10T04:11:40.686800Z"
28,"1","2026-02-10T04:11:50.002644Z",28,8.675,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-10T04:11:50.002690Z"
29,"1","2026-02-10T04:11:56.128381Z",29,5.561,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-10T04:11:56.128418Z"
30,"1","2026-02-10T04:12:30.094729Z",30,36.699,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Negative","2026-02-10T04:12:38.226305Z"
31,"1","2026-02-10T04:13:14.574684Z",31,13.87,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-10T04:13:14.574757Z"
32,"1","2026-02-10T04:13:32.654212Z",32,17.486,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-10T04:13:32.654262Z"
33,"1","2026-02-10T04:13:39.644063Z",33,6.407,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Negative","2026-02-10T04:13:39.644124Z"
34,"1","2026-02-10T04:13:47.820926Z",34,7.603,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-10T04:13:47.820976Z"
35,"1","2026-02-10T04:13:54.800246Z",35,6.392,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-10T04:13:54.800300Z"
36,"1","2026-02-10T04:14:08.039462Z",36,12.626,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-10T04:14:08.039506Z"
37,"1","2026-02-10T04:14:17.413249Z",37,8.795,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-10T04:14:17.413295Z"
38,"1","2026-02-10T04:14:22.018016Z",38,4.002,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-10T04:14:22.018066Z"
39,"1","2026-02-10T04:14:41.619771Z",39,19.054,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Negative","2026-02-10T04:14:41.619816Z"
40,"1","2026-02-10T04:14:55.708261Z",40,13.484,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-10T04:14:55.708303Z"
41,"1","2026-02-10T04:15:11.633787Z",41,15.364,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-10T04:15:11.633837Z"
42,"1","2026-02-10T04:15:22.642448Z",42,10.446,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-10T04:15:22.642494Z"
43,"1","2026-02-10T04:15:31.262945Z",43,8.055,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-10T04:15:31.263016Z"
44,"1","2026-02-10T04:15:58.561960Z",44,26.735,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Negative","2026-02-10T04:15:58.562003Z"
45,"1","2026-02-10T04:16:09.882657Z",45,10.778,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-10T04:16:09.882704Z"
46,"1","2026-02-10T04:16:18.040436Z",46,7.6,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-10T04:16:18.040481Z"
47,"1","2026-02-10T04:16:30.542365Z",47,11.908,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-10T04:16:30.542414Z"
48,"1","2026-02-10T04:16:34.878740Z",48,3.739,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-10T04:16:34.878813Z"
49,"1","2026-02-10T04:16:41.821098Z",49,6.422,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-10T04:16:41.821146Z"
50,"1","2026-02-10T04:16:54.516900Z",50,12.089,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-10T04:16:54.516945Z"
51,"1","2026-02-10T04:17:02.990812Z",51,7.887,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-10T04:17:02.990862Z"
52,"1","2026-02-10T04:17:19.580509Z",52,16.017,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-10T04:17:19.580556Z"
53,"1","2026-02-10T04:17:26.169808Z",53,6.011,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-10T04:17:26.169842Z"
54,"1","2026-02-10T04:17:32.218434Z",54,5.539,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Negative","2026-02-10T04:17:32.218481Z"
55,"1","2026-02-10T04:17:38.583286Z",55,5.782,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-10T04:17:38.583337Z"
56,"1","2026-02-10T04:17:49.404711Z",56,10.226,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-10T04:17:49.404758Z"
57,"1","2026-02-13T03:07:11.594549Z",57,9.7,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-13T03:07:11.594595Z"
58,"1","2026-02-13T03:07:20.315419Z",58,8.015,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-13T03:07:20.315495Z"
59,"1","2026-02-13T03:07:24.746708Z",59,3.661,"Total garbage. A complete misfire.","Negative","2026-02-13T03:07:24.746745Z"
60,"1","2026-02-13T03:07:45.365587Z",60,20.044,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-13T03:07:45.365623Z"
61,"1","2026-02-13T03:08:04.923978Z",61,19.023,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-13T03:08:04.924016Z"
62,"1","2026-02-13T03:08:12.351277Z",62,6.899,"I have never been so bored in my life. Do not bother.","Negative","2026-02-13T03:08:12.351314Z"
63,"1","2026-02-13T03:08:21.213261Z",63,8.361,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-13T03:08:21.213297Z"
64,"1","2026-02-13T03:09:01.122519Z",64,39.349,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-13T03:09:01.122569Z"
65,"1","2026-02-13T03:09:15.559145Z",65,22.046,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Neutral","2026-02-13T03:09:30.063182Z"
66,"1","2026-02-13T03:10:00.892563Z",66,8.476,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-13T03:10:00.892623Z"
67,"1","2026-02-13T03:10:14.572364Z",67,13.181,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-13T03:10:14.572399Z"
