"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-13T09:31:40.901512Z",1,4.233,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-13T09:31:40.901548Z"
2,"1","2026-02-13T09:32:17.067275Z",2,32.31,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-13T09:32:17.067322Z"
3,"1","2026-02-13T09:32:30.634973Z",3,11.388,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-13T09:32:30.635004Z"
4,"1","2026-02-13T09:32:41.577415Z",4,9.275,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-13T09:32:41.577452Z"
5,"1","2026-02-13T09:33:15.848556Z",5,32.372,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-13T09:33:15.848609Z"
6,"1","2026-02-13T09:33:34.323086Z",6,12.601,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-13T09:33:34.323124Z"
7,"1","2026-02-13T09:33:48.568955Z",7,12.553,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-13T09:33:48.568993Z"
8,"1","2026-02-13T09:34:22.231654Z",8,31.401,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-13T09:34:22.231689Z"
9,"1","2026-02-13T09:35:21.089423Z",9,48.719,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-13T09:35:21.089449Z"
10,"1","2026-02-13T09:37:25.755032Z",10,121.186,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-13T09:37:25.755072Z"
11,"1","2026-02-13T09:37:59.149099Z",11,30.579,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-13T09:37:59.149139Z"
12,"1","2026-02-13T09:38:47.465055Z",12,45.315,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-13T09:38:47.465095Z"
13,"1","2026-02-13T09:40:34.381584Z",13,104.858,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Negative","2026-02-13T09:40:34.381621Z"
