title,year,budget_millions,loss_millions,Plot,Metascore,imdbRating,Director,Language,omdb_year,match_status,Loss_Category
The 13th Warrior,1999,130.0,99.0,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly em...",42,6.6,John McTiernan,"English, Latin, Swedish, Norse, Old, Danish, Arabic",1999,Verified,Severe
The 355,2022,57.5,93.0,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",40,5.6,Simon Kinberg,"English, Chinese, Spanish, French, German, Arabic, Romanian, Hindi, Sign ",2022,Verified,Severe
47 Ronin,2013,200.0,96.0,A band of samurai sets out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,28,6.2,Carl Rinsch,"English, Japanese",2013,Verified,Severe
The Adventures of Baron Munchausen,1988,46.6,38.5,An account of Baron Munchausen's supposed travels and fantastical experiences across late 18th-century Europe with his band of misfits.,69,7.1,Terry Gilliam,English,1988,Verified,Moderate
The Adventures of Pluto Nash,2002,100.0,96.0,"In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia.",12,3.9,Ron Underwood,English,2002,Verified,Severe
The Adventures of Rocky & Bullwinkle,2000,87.3,63.5,"When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.",36,4.3,Des McAnuff,English,2000,Verified,Severe
The Alamo,2004,107.0,94.0,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio Texas.",47,6.1,John Lee Hancock,"English, Spanish",2004,Verified,Severe
Alexander,2004,155.0,71.0,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.",40,5.6,Oliver Stone,English,2004,Verified,Severe
Ali,2001,107.0,63.0,"A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.",65,6.7,Michael Mann,"English, French, Swahili",2001,Verified,Severe
Allied,2016,85.0,82.5,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",60,7.1,Robert Zemeckis,"English, French, German, Arabic",2016,Verified,Severe
